VALUE,VOLICITY,YEARS
0,0,13
0,0,13
0,0,9
0,0,6
0,0,9
0,0,13
0,0,6
0,0,26
0,0,6
8087.81,13,14
0,0,9
0,0,5
0,0,14
0,0,6
0,0,3
0,0,7
0,0,7
0,0,9
1283.24,19,7
0,0,8
0,0,13
0,0,16
22.25,1,6
0,0,7
0,0,13
0,0,7
0,0,7
0,0,10
0,0,13
0,0,4
720.22,5,10
0,0,13
0,0,6
0,20,6
283.9,2,4
19.98,3,7
0,0,13
0,0,16
0,0,13
0,0,13
0,0,16
0,0,17
0,0,13
0,0,7
0,0,14
0,0,6
0,0,17
30.37,1,4
0,0,14
0,0,26
0,0,4
0,0,13
620.91,2,5
85.68,1,5
0,0,7
0,0,14
0,0,16
0,0,7
0,0,13
0,0,9
0,0,6
0,0,6
0,0,7
0,0,13
0,0,10
0,0,10
703.71,10,3
0,0,6
0,0,7
0,0,4
0,0,13
0,0,6
0,0,26
0,0,12
0,0,6
0,0,5
0,0,14
0,0,13
0,0,14
0,0,5
0,0,7
0,0,7
0,0,1
0,0,1
4.94,0,6
0,0,6
0,0,14
0,0,9
0,0,14
0,0,7
0,0,6
0,0,4
0,0,7
0,0,13
0,0,12
0,0,6
12.85,0,14
0,0,7
0,0,10
194.47,4,7
0,0,14
0,2,14
790.08,3,9
0,0,7
0,0,6
1129.87,15,4
0,0,14
0,0,9
0,0,3
0,0,10
0,0,6
0,0,17
0,0,7
0,0,7
0,0,6
0,0,10
185.41,3,7
0,0,7
0,0,16
0,0,6
0,0,12
0,0,13
0,0,7
0,0,13
0,0,6
0,0,6
0,0,14
0,0,26
0,0,4
0,0,19
0,0,10
0,0,7
0,0,6
260.76,6,6
0,0,11
0,0,6
0,0,14
0,0,3
0,0,14
0,0,10
0,0,14
0,0,6
651.48,1,14
3593.36,57,6
0,0,11
0,0,13
1.21,4,7
0,0,14
0,0,6
0,0,5
0,0,6
0,0,3
0,0,4
0,0,4
0,0,12
151.82,1,6
0,0,11
124.37,1,7
0,0,11
0,0,10
0,0,6
0,0,5
0,0,6
0,0,17
0,0,7
0,0,14
0,0,6
0,0,10
0,0,5
0,0,7
0,0,13
531.97,19,14
1405.19,49,14
0,0,9
0,0,14
0,0,6
0,0,9
0,0,9
0,0,14
0,0,4
0,0,7
0,0,16
0,0,19
0,0,13
0,0,5
0,0,13
0,0,17
0,0,7
0,0,1
0,0,7
0,0,5
0,0,13
0,0,13
0,0,9
0,0,12
753.35,3,13
0,0,15
0,0,3
0,0,8
0,0,7
0,0,6
0,0,11
0,0,6
0,0,6
0,0,13
0,0,9
0,0,7
680.86,1,6
0,0,14
0,0,9
9.49,1,7
0,0,14
0,0,6
0,0,3
0,0,14
0,0,5
0,0,10
0,0,7
0,0,13
0,0,7
292.66,15,17
0,0,1
0,0,14
0,0,6
0,0,11
0,0,13
0,0,13
0,0,13
0,0,7
0,0,7
0,0,11
0,0,19
137.3,5,4
0,0,11
0,0,6
4.76,0,17
812.66,7,13
0,0,16
599.23,11,8
0,0,19
0,0,13
0,0,9
0,0,16
0,0,14
0,0,26
0,0,7
0,0,6
0,0,7
0,0,9
0,0,13
0,0,7
0,0,26
0,0,3
62.62,5,7
0,4,12
0,0,9
0,0,6
8.78,2,3
0,0,16
0,0,17
0,0,9
0,0,6
0,0,13
0,0,13
0,0,13
0,0,9
0,0,14
0,0,12
0,0,13
0,0,5
0,0,8
4.91,2,5
1101.27,64,14
13.97,10,4
0,0,9
0,0,26
0,0,14
0,0,3
0,0,14
496.6,15,6
0,0,7
0,0,12
0,0,13
122.01,64,14
1047.27,102,3
0,0,7
0,0,14
0,0,1
0,0,4
0,0,7
0,0,17
0,0,9
0,0,12
0,0,6
0,0,14
0,0,5
0,0,17
0,0,8
0,0,6
14.62,5,14
0,0,17
0,0,9
0,0,10
0,0,4
0,0,17
