VALUE,VOLICITY,YEARS
23.67,2,3
0,0,15
10.14,0,7
0,0,7
0,0,17
0,0,6
0,0,6
0,0,9
1358.05,29,13
0,0,6
0,0,13
0,0,13
0,0,7
0,0,6
0,0,9
43.03,6,6
0,0,13
0,0,5
0,0,13
0,0,14
0,0,7
502.93,7,4
0,0,14
0,0,1
0,0,7
0,0,17
356.91,23,6
493.3,0,7
0,2,7
0,0,6
0,0,9
0,0,14
0,0,14
0,0,6
0,0,6
0,0,14
0,0,14
0,0,13
0,0,4
0,0,9
0,0,17
0,0,1
0,0,4
0,0,13
0,0,16
0,0,6
0,1,17
0,0,7
0,0,17
0,0,14
0,0,13
0,0,9
0,0,14
0,0,5
0,0,7
0,0,6
0,0,6
0,0,6
0,0,7
0,0,14
0,0,11
0,0,10
0,0,8
0,0,10
0,0,6
0,0,26
44.43,1,14
265.02,17,7
7.26,2,4
0,0,14
0,0,7
14.44,0,7
0,0,13
0,0,13
0,0,5
0,0,6
0,0,13
0,0,6
144.86,6,8
0,0,6
0,0,4
0,0,3
0,0,7
0,0,14
0,0,6
0,0,14
0,0,17
0,0,6
0,0,26
0,0,5
0,0,7
0,0,5
0,0,14
0,0,7
0,0,14
0,0,5
335.25,4,6
0,0,14
0,0,7
0,0,6
0,0,17
0,0,11
0,0,13
0,0,7
0,0,7
0,0,7
0,0,5
0,0,6
0,0,7
0,0,17
0,0,13
0,0,7
0,0,10
0,1,3
0,0,14
0,0,14
38.81,1,12
0,0,14
0,0,7
0,0,13
0,0,8
0,0,4
0,0,14
0,0,13
0,0,12
0,0,13
0,0,14
0,0,6
0,0,4
0,0,6
0,0,13
0,0,4
0,0,3
0,0,11
0,0,7
0,0,13
0,2,6
0,0,4
0,0,13
0,0,6
0,0,7
0,0,17
618.39,2,6
0,0,14
0,0,7
2834.33,7,5
0,0,13
0,0,15
1426.27,18,16
0,0,26
637.63,5,5
0,0,9
0,0,8
0,0,6
0,0,6
0,0,6
0,0,13
0,0,7
0,0,3
0,0,6
0,0,17
0,0,4
0,0,13
0,0,6
0,0,6
0,0,6
0,0,6
13.02,2,6
0,0,1
0,0,17
0,0,6
0,0,17
0,0,5
0,0,13
0,0,13
19.76,3,5
0,0,9
0,0,13
0,0,7
0,0,10
0,0,6
0,0,6
0,0,13
0,0,6
0,0,6
0,0,6
4.64,0,4
0,0,8
0,0,6
0,0,13
0,1,5
0,0,6
0,0,11
0,0,7
0,0,16
0,0,9
0,0,13
0,0,7
4.91,0,13
0,0,13
0,0,17
16.49,0,11
0,0,3
0,0,13
0,0,6
0,1,4
455.86,10,17
0,0,5
0,0,7
0,0,13
0,0,13
0,0,5
565.98,2,6
0,0,9
0,0,4
0,0,17
0,0,13
0,0,7
0,0,4
0,0,7
0,0,8
0,0,7
16832.25,20,7
0,0,4
0,0,17
0,0,9
0,1,6
0,0,5
0,0,13
0,0,14
0,0,7
0,0,13
0,0,10
0,0,7
248.44,2,4
40.5,6,7
0,0,6
0,0,6
0,0,14
0,0,7
0,0,6
0,0,6
485.03,24,5
0,0,13
0,0,6
0,0,6
0,0,7
0,0,5
0,0,5
0,0,17
0,0,7
0,0,26
284.8,4,7
259.65,11,3
0,0,6
0,0,1
0,0,6
0,0,6
0,0,6
0,0,5
2444.52,8,7
0,0,13
0,0,6
0,0,5
0,0,7
0,0,7
0,0,10
0,0,13
0,0,26
0,0,13
0,0,13
0,0,5
0,0,1
0,0,3
0,0,8
0,0,17
0,0,16
0,0,8
0,0,10
0,0,13
9.3,1,13
0,0,7
0,0,8
0,0,6
4.92,0,7
0,0,6
0,0,14
0,0,14
597.11,4,3
0,0,19
0,0,12
0,0,8
97.81,6,6
0,0,7
0,0,13
0,0,1
0,0,7
20.24,0,16
1147.14,3,14
0,0,13
0,0,7
0,0,6
0,0,6
0,0,1
0,0,1
0,0,14
0,0,9
0,0,7
0,0,6
0,0,9
0,0,13
7576.23,31,8
221.6,1,6
0,0,6
4493.01,81,12
0,0,13
0,0,14
0,0,1
0,0,13
0,0,11
0,0,6
2611.02,6,7
0,0,7
0,0,14
0,0,6
244.23,12,8
0,0,14
0,0,7
0,0,14
0,0,6
0,0,6
0,0,16
0,0,12
0,0,6
0,0,26
0,0,13
0,0,13
0,0,15
0,0,15
0,0,26
0,0,7
0,0,16
0,0,14
0,0,6
0,0,13
0,0,14
18.83,23,10
0,0,16
1631.82,8,6
0,0,14
0,0,10
665.09,2,4
0,0,17
0,0,5
0,0,10
0,0,6
0,0,13
0,0,6
18342.67,44,7
0,0,10
0,1,13
0,0,3
0,0,6
0,0,4
0,0,6
0,0,7
0,0,5
0,1,6
0,0,5
0,0,14
0,0,14
0,0,13
0,0,14
0,0,12
0,0,3
0,0,14
0,0,1
0,0,1
0,2,9
0,0,7
0,0,5
0,0,16
0,0,13
0,0,19
0,0,6
4.82,1,18
0,0,7
0,0,17
0,0,16
0,0,10
0,0,14
0,0,4
0,0,12
516.19,2,4
0,0,6
0,0,7
0,0,13
0,0,13
0,0,26
0,0,6
0,0,6
0,0,12
0,0,6
0,0,6
0,0,8
0,0,6
0,0,18
0,0,7
0,0,19
21.18,0,6
0,0,8
0,0,6
0,0,4
0,0,6
0,0,7
0,0,13
0,0,7
0,0,14
0,0,6
0,0,6
0,0,13
0,0,6
0,0,6
0,0,14
0,0,6
0,0,13
0,0,15
0,0,7
0,0,13
0,0,9
0,0,6
0,0,10
0,0,5
0,0,5
0,0,1
0,0,4
0,0,6
0,0,14
644.9,2,8
0,0,6
585.12,1,26
0,0,6
0,0,11
0,1,6
0,0,16
507.34,5,17
0,0,5
6.71,29,3
0,0,13
0,0,12
0,0,12
0,0,7
0,0,13
0,0,6
0,0,7
0,0,13
0,0,6
0,0,14
0,0,4
0,0,13
0,0,17
447.11,31,9
1065.74,14,9
0,0,13
0,0,6
1154.24,1,7
0,0,6
0,0,13
0,0,17
0,0,11
0,0,14
0,0,13
0,0,13
0,0,6
0,0,6
178.27,4,10
0,0,9
0,0,13
0,0,6
0,0,13
0,0,14
36.45,3,8
0,0,26
0,0,16
0,0,16
0,0,7
1379.02,8,6
0,0,4
0,0,6
0,0,14
0,0,11
28.72,0,7
51.09,22,7
1364.77,38,14
0,0,7
0,0,7
0,0,5
0,0,5
0,0,13
0,0,14
0,0,7
0,0,5
0,0,10
0,0,7
0,0,6
0,0,13
0,0,13
0,0,7
0,0,13
1159.98,12,7
0,0,13
1361.63,28,7
0,0,3
0,0,6
0,0,14
457.34,6,4
325.44,1,6
0,0,13
0,0,7
0,0,6
0,0,6
0,0,13
0,0,10
0,0,12
0,0,7
0,0,3
0,0,7
0,0,9
0,0,6
0,0,7
0,0,7
0,0,6
0,0,14
0,0,26
0,0,10
0,0,13
0,0,9
0,0,6
0,0,3
9.35,0,16
18.18,0,5
0,0,6
0,0,14
348.55,0,26
0,0,6
0,2,6
0,0,7
0,0,5
0,0,26
0,0,5
0,0,13
0,0,7
0,0,8
0,0,14
0,0,6
0,0,26
0,0,6
0,0,14
0,0,4
0,0,12
0,0,11
0,0,7
0,0,14
0,0,14
0,0,9
0,0,11
645.82,4,7
0,0,13
0,0,4
0,0,13
0,0,14
0,0,1
44.34,5,6
0,0,7
0,0,9
0,0,13
0,0,6
0,0,6
0,0,6
0,0,16
396.6,12,6
0,0,6
0,0,14
0,0,6
0,0,14
0,0,17
1324.17,3,17
0,0,14
0,0,7
0,0,16
0,0,6
0,0,11
0,0,7
0,0,14
0,0,13
0,0,4
0,0,6
0,0,6
0,0,4
0,0,7
0,0,3
243.68,1,4
733.67,1,9
0,0,6
0,0,6
0,0,7
0,0,13
1479.67,27,6
0,0,12
0,0,12
0,0,13
0,0,14
0,0,6
0,0,13
0,0,10
0,0,7
0,0,26
0,0,13
0,5,3
0,0,7
0,0,7
195.92,1,9
0,0,13
0,0,14
603.63,22,7
0,0,7
0,0,13
0,0,7
0,0,3
0,0,13
0,0,6
0,0,10
2807.02,13,9
358.8,10,5
0,0,5
0,0,7
0,0,6
886.01,3,8
32.75,6,7
0,0,9
0,0,5
0,0,14
0,0,14
0,0,14
35.18,6,6
0,0,10
0,0,7
0,0,3
0,0,15
0,0,5
0,0,6
0,0,1
0,0,1
0,0,1
4.88,1,6
0,0,13
11.19,0,13
0,0,14
0,0,6
0,0,18
0,0,11
0,0,4
0,0,16
0,0,26
0,0,17
162.04,43,7
1911.56,20,7
0,0,19
0,0,14
0,0,13
447.85,6,4
18.99,0,7
0,0,9
0,0,6
4.95,0,6
0,0,15
68.74,2,4
0,0,11
0,0,6
0,0,11
0,0,5
47.77,0,6
0,0,11
0,0,4
44.43,3,4
0,0,6
0,0,4
61.02,0,7
0,0,8
0,0,7
0,0,4
71.35,0,13
0,0,16
0,0,5
0,0,12
0,0,5
0,0,1
0,0,1
0,0,14
0,0,3
33.99,2,7
0,0,6
678.48,2,3
0,0,13
46.54,9,4
0,0,4
0,0,10
39.71,1,14
0,0,15
0,0,6
0,0,13
0,0,8
59.8,75,14
0,0,12
734.51,24,7
0,0,6
0,0,16
0,0,13
0,0,13
0,0,1
0,0,7
0,0,17
0,0,1
0,0,1
0,0,1
0,0,15
9.32,9,7
0,0,13
0,0,17
0,0,17
0,0,13
0,0,10
0,0,7
1737.65,2,9
0,0,13
0,0,14
0,0,26
0,0,13
8367.64,17,13
0,0,7
37.44,2,7
0,0,13
0,0,13
0,0,13
0,0,11
0,0,6
0,0,6
0,0,14
0,0,3
0,0,10
0,0,7
0,0,13
0,0,6
727.24,1,14
0,0,7
0,0,13
0,0,14
0,0,13
0,0,26
0,0,7
0,0,7
0,0,5
0,0,5
0,0,14
0,0,13
0,0,14
0,0,17
0,0,17
0,0,19
0.9,2,7
0,0,7
951.53,11,6
0,0,13
0,0,6
0,0,14
15.96,1,14
0,0,7
0,0,13
0,0,7
0,0,9
0,0,13
0,0,13
0,0,13
0,0,11
0,0,12
0,0,7
0,0,14
0,0,6
0,0,9
643.04,36,7
0,0,16
198.57,2,10
0,0,14
0,0,9
0,0,6
0,0,26
0,0,13
0,1,5
0,0,12
0,0,11
844.53,3,12
32.89,0,6
0,0,11
0,0,6
0,0,7
0,0,14
0,0,7
165.4,2,6
0,0,6
0,0,9
0,0,14
0,0,13
0,0,13
190.14,2,7
0,0,6
0,0,8
168.99,5,14
0,0,4
0,0,8
0,0,26
0,0,9
0,0,14
0,9,6
0,0,14
0,0,7
0,0,5
0,0,6
0,0,3
436.93,10,6
0,0,17
0,0,6
0,0,7
0,0,14
0,0,10
0,0,26
0,0,5
0,0,6
6086.3,11,7
0,0,26
0,0,13
0,0,26
0,0,13
0,0,26
0,0,26
0,0,7
0,0,10
0,0,13
0,0,6
0,0,7
0,0,26
0,0,3
0,0,6
0,0,19
0,0,7
0,0,9
0,0,1
0,0,1
0,0,15
0,0,3
0,0,8
0,0,11
0,0,6
1571.53,5,11
0,0,5
0,0,7
0,0,6
0,0,15
0,0,7
0,0,9
0,0,8
0,0,9
0,0,6
27.11,7,3
0,0,6
0,0,5
1086.03,59,5
72.62,30,7
0,0,6
0,0,14
0,0,14
0,0,5
0,0,14
0,0,13
0,1,9
0,0,5
0,0,9
0,0,4
50.27,5,7
0,0,11
0,0,11
0,0,6
0,0,13
0,0,13
50.23,0,7
779.46,122,6
0,0,14
0,0,3
186.22,4,4
0,0,14
0,0,26
0,0,14
0,0,9
0,0,5
0,0,3
0,0,14
0,0,7
191.73,1,13
0,0,6
0,0,11
0,0,6
0,0,1
0,0,13
0,0,13
0,0,6
0,0,9
0,0,8
0,0,4
0,0,6
0,0,6
0,0,9
0,0,3
0,0,6
0,0,6
0,0,14
0,0,17
0,0,17
0,0,6
0,0,13
0,0,7
0,0,9
0,0,3
0,0,4
0,0,5
0,0,7
162.05,1,14
0,0,14
0,0,6
0,0,9
0,0,16
0,0,8
0,0,9
0,0,3
0,0,9
0,0,6
0,0,11
0,0,6
306.97,6,7
0,0,13
0,0,9
0,0,6
0,0,13
0,0,13
0,0,4
0,0,9
0,0,10
0,0,15
0,0,3
0,0,13
0,0,26
0,0,18
275.84,40,10
0,0,18
0,0,11
0,0,16
0,0,6
0,0,4
0,0,12
0,0,9
0,0,3
0,0,14
0,0,15
0,0,14
0,0,7
0,0,6
0,0,17
2589.56,8,13
0,0,10
0,0,9
0,0,12
0,0,14
0,0,6
0,0,7
0,0,26
0,0,7
0,0,6
0,0,5
0,0,5
0,0,1
0,0,5
38.4,1,3
0,0,4
0,0,4
0,0,5
0,0,13
0,0,15
0,0,3
0,0,6
0,0,6
0,0,14
0,0,14
16.01,19,6
0,0,6
0,0,11
0,0,8
0,0,8
340.63,26,4
0,0,9
0,0,4
0,0,6
10810.98,85,8
0,0,13
0,0,13
0,0,1
0,0,14
24.22,1,6
0,0,8
0,0,8
0,0,5
0,0,7
0,0,6
0,0,13
0,0,9
0,0,6
0,0,7
0,0,14
0,0,9
0,0,10
99.36,9,6
0,0,9
0,0,1
0,0,1
0,0,1
0,0,13
0,0,12
0,13,5
388.88,20,4
0,0,13
0,0,6
0,0,3
26.78,1,6
0,0,26
988.64,38,7
0,0,9
231.52,4,7
0,0,6
0,0,1
0,3,13
0,0,4
0,0,14
0,0,12
0,0,9
0,0,10
606.19,8,4
0,0,17
135.1,7,6
0,0,15
0,0,11
0,0,26
0,0,14
0,0,13
0,0,6
0,0,5
0,0,13
0,0,7
504.18,16,13
0,0,5
0,0,26
0,0,16
0,0,7
0,0,4
0,0,19
28.94,5,17
0,0,13
0,0,10
0,0,26
0,0,6
0,0,9
0,0,6
0,0,9
0,0,13
0,0,4
0,0,6
0,0,16
0,0,7
0,0,7
0,0,14
1756.94,21,5
0,0,7
0,0,7
0,0,5
0,0,5
0,0,13
0,0,3
0,0,6
0,0,13
0,0,7
0,0,26
0,0,16
0,0,26
0,2,14
0,0,7
0,0,14
0,0,17
235.08,4,6
0,0,6
0,0,6
0,0,17
0,0,6
79.86,8,7
0,0,9
0,0,11
0,0,13
0,0,10
0,0,4
0,0,9
0,0,14
0,0,13
0,0,5
0,0,6
0,0,10
0,0,16
15148.14,12,7
0,0,3
0,0,14
0,0,4
0,0,7
0,0,16
0,0,7
0,0,9
169.83,1,26
0,0,13
246.6,85,6
0,0,7
0,0,17
0,0,5
0,0,14
0,0,13
0,0,13
479.17,9,6
0,0,8
0,0,4
0,0,7
0,0,13
280.22,3,10
0,0,8
0,0,15
0,0,6
0,0,8
0,0,14
0,0,16
0,0,14
18.88,1,7
0,0,16
365.43,27,6
0,0,13
125.83,1,5
0,0,13
0,0,10
0,0,13
0,0,13
0,0,4
0,0,17
0,0,6
0,0,26
0,0,14
0,0,7
14.74,0,4
0,0,6
0,0,17
0,0,26
0,0,14
0,0,5
0,0,14
0,0,7
0,0,13
0,0,15
0,0,3
0,0,7
0,0,6
0,0,17
956.57,3,8
0,0,11
256.91,5,14
0,0,6
0,0,26
0,0,12
0,0,14
0,0,26
43.18,1,11
0,0,6
4.61,0,5
0,2,6
0,0,4
0,0,7
0,0,14
0,0,9
0,0,5
0,0,6
0,0,6
0,0,13
0,0,14
0,0,6
0,0,14
0,0,11
1433.75,10,13
0,0,7
0,0,14
0,0,13
0,2,14
0,0,4
697.29,17,14
0,0,13
0,0,6
0,0,5
0,0,3
0,0,1
0,0,1
0,0,13
81.04,10,5
0,0,14
767.23,2,5
0,0,7
0,0,17
1070.05,16,4
0,0,7
0,0,12
0,0,12
0,0,6
16.98,0,13
0,0,3
90.82,1,4
0,0,4
0,0,7
2042.94,53,6
0,0,6
49.01,9,13
0,0,6
0,0,14
0,0,4
0,0,9
0,0,6
0,0,7
0,0,19
0,0,13
262.43,5,10
0,0,6
0,0,14
0,0,7
0,0,7
0,0,7
0,0,6
0,0,5
0,0,7
0,0,7
0,0,13
0,0,6
0,0,7
0,0,26
4.43,0,7
0,0,4
0,0,15
0,0,6
0,0,7
0,0,3
0,0,15
0,0,4
0,0,6
0,0,14
128.09,10,12
0,0,5
0,0,4
0,0,7
0,0,6
0,0,7
0,0,16
0,0,14
0,0,4
0,0,7
0,0,14
0,0,6
0,0,6
0,0,7
0,0,3
40.1,7,10
0,0,6
0,0,12
427.07,10,6
0,0,14
40.83,1,7
0,0,13
0,0,14
0,0,7
0,0,13
0,0,14
0,0,5
3179.99,52,5
0,0,12
0,0,7
0,0,19
0,0,10
0,0,17
0,0,7
0,0,7
0,0,11
0,0,7
0,0,15
0,0,13
0,0,11
0,0,9
0,0,7
0,0,4
0,0,1
0,0,14
0,0,14
0,0,11
167.26,3,7
0,0,6
8.48,0,13
0,0,7
0,0,7
0,0,9
0,0,13
0,0,6
0,0,14
0,0,6
149.3,31,7
0,0,13
0,0,14
260.53,16,6
12.83,0,4
0,0,13
0,0,6
0,0,1
0,0,6
0,40,6
0,0,13
0,0,7
0,0,13
0,0,6
0,0,13
0,0,11
0,0,14
0,0,11
0,0,14
0,3,11
0,0,16
0,0,9
0,0,10
0,0,13
0,0,14
0,0,13
0,0,13
0,0,14
0,0,9
0,0,6
0,0,4
0,0,6
0,0,11
0,0,6
0,0,6
0,0,10
209.83,2,6
0,0,12
0,0,13
0,29,7
0,0,7
0,0,13
95.91,7,5
0,0,10
0,0,13
0,0,9
2391.01,16,13
0,0,13
0,0,5
0,0,14
249.73,1,14
0,0,6
0,0,7
0,0,13
0,0,6
0,0,5
0,0,7
0,0,8
113.76,10,13
0,0,4
0,0,5
0,0,12
0,0,8
166.73,9,6
0,0,14
0,0,6
0,0,6
0,0,7
34.47,9,7
0,0,6
0,0,19
0,0,13
0,0,26
0,0,3
0,0,6
0,0,7
0,0,13
0,0,6
0,0,6
0,0,4
0,4,7
0,0,7
0,0,5
0,0,14
272.42,29,6
0,0,6
0,0,26
0,0,26
0,0,4
0,0,1
0,0,7
0,0,9
0,2,7
0,0,11
0,0,14
0,0,12
0,0,9
0,8,6
0,0,12
90.3,8,6
0,0,5
0,0,14
0,0,6
0,0,7
0,0,3
0,0,13
0,0,7
0,0,18
0,0,7
0,0,11
0,0,6
0,0,6
0,0,26
0,0,12
0,0,7
0,0,6
9.29,16,6
0,0,9
0,0,14
0,0,13
0,0,13
337.54,86,4
0,0,8
0,1,3
34.91,9,4
0,0,4
0,0,5
0,0,7
0,0,7
0,0,17
0,0,7
0,0,6
0,0,14
0,0,5
0,0,6
0,0,6
0,0,14
0,0,3
69.94,0,14
0,0,3
0,0,9
0,0,7
0,0,13
0,0,13
4.86,0,8
0,0,13
0,0,1
78.31,6,6
0,0,9
0,0,14
0,0,7
0,0,10
0,0,6
0,0,11
8956.29,74,4
0,0,3
0,0,9
0,0,5
0,0,9
0,0,13
0,0,14
0,0,13
0,0,10
0,0,6
0,0,4
0,0,7
0,0,26
0,0,6
0,0,5
0,0,6
0,0,6
15.24,0,6
29.53,2,7
0,0,14
0,0,11
0,0,14
0,0,6
0,0,15
0,0,5
0,0,17
330.1,1,13
0,0,6
0,0,5
0,0,26
11.66,0,9
0,0,13
326.37,2,7
0,0,9
0,0,14
0,0,16
0,0,13
0,0,12
0,0,9
0,0,6
0,0,6
0,1,4
0,0,9
0,0,7
0,0,13
0,92,6
0,0,16
4623.83,13,6
0,0,14
0,0,13
0,0,15
88.36,2,14
0,0,7
0,0,6
0,1,14
0,0,4
0,0,14
0,3,13
0,0,4
0,0,9
0,0,14
0,0,3
0,0,7
0,0,5
218.29,1,6
0,0,10
0,0,6
0,0,4
0,0,6
166.46,1,11
0,0,1
0,0,7
0,0,6
0,0,14
0,0,5
21,50,5
0,0,12
0,0,13
0,0,17
0,0,6
480.71,5,7
0,0,9
0,0,7
0,0,14
0,0,13
0,0,12
160.05,2,7
0,0,6
342.4,11,5
0,0,7
0,0,6
0,0,14
0,0,13
0,0,11
0,0,12
0,0,5
0,0,7
0,0,3
0,0,7
0,0,6
0,0,9
0,0,6
0,0,5
0,0,6
0,0,7
0,0,13
0,0,10
49.07,1,7
0,0,6
0,0,6
0,0,26
0,0,6
0,0,7
35.93,1,7
0,0,7
198.79,0,7
0,0,4
0,0,15
0,0,13
0,0,13
0,0,9
0,0,6
0,0,14
0,0,6
0,0,5
0,0,14
0,0,7
0,0,7
0,0,17
4030.95,152,4
0,0,5
0,0,12
717.43,35,6
0,0,14
0,0,7
0,0,5
0,0,16
0,0,14
699.69,8,4
13.77,1,7
0,0,5
0,0,10
0,6,4
0,0,7
0,0,6
0,0,26
0,0,11
0,0,14
193.42,1,13
620.34,1,17
0,0,6
0,0,6
0,0,1
0,0,1
0,0,9
0,0,13
0,0,7
0,0,16
0,0,9
0,0,14
297.02,8,6
0,0,6
0,0,6
19.12,1,5
2608.17,10,6
0,0,26
0,0,14
0,0,14
0,0,13
0,0,7
0,0,13
0,0,6
0,0,5
0,0,14
0,0,5
0,0,6
0,0,14
0,0,7
0,0,8
0,0,6
0,0,10
0,0,8
0,0,5
1151.78,19,12
0,0,5
0,0,6
0,0,6
0,0,14
0,0,3
0,0,7
0,0,4
0,0,13
0,0,11
503.29,17,6
0,0,7
0,0,5
283.02,99,4
0,0,5
0,0,5
0,0,6
0,0,7
0,0,9
63.54,1,6
0,0,26
4173.91,62,14
0,0,3
0,0,9
0,0,19
0,0,6
0,0,6
0,0,6
0,0,4
243.68,46,9
0,0,13
0,0,6
0,0,15
0,0,6
0,0,4
0,0,12
0,0,4
47.23,3,7
0,0,6
0,0,6
0,0,6
0,1,4
0,0,6
0,0,6
0,0,1
2177.58,31,11
0,0,9
0,0,14
0,0,14
0,0,7
0,0,7
0,0,7
0,0,6
0,0,6
125.3,10,7
0,0,12
45.25,9,13
0,0,6
65.52,2,13
462.02,5,5
0,0,14
0,0,9
397.03,3,14
0,0,7
0,4,6
0,0,13
0,0,6
0,0,7
0,6,5
0,0,26
32.49,4,7
0,0,6
0,0,9
0,0,14
0,0,7
0,0,13
0,0,1
0,0,17
0,0,14
0,0,14
0,0,6
0,0,9
0,0,12
0,0,17
0,0,14
71.16,3,7
0,0,14
0,0,26
0,0,6
0,0,4
0,0,15
21.95,2,14
0,0,13
0,0,13
0,0,5
0,0,12
0,0,14
0,0,26
0,0,14
0,0,14
0,0,14
16.1,48,7
0,0,5
0,0,14
0,0,7
0,0,14
552.54,8,6
0,0,9
0,0,4
0,0,6
19.1,2,6
0,0,7
0,0,13
0,0,1
0,0,9
0,0,6
0,0,13
536.51,7,3
0,0,14
0,0,13
0,0,4
0,0,9
1551.29,8,14
0,0,3
0,0,6
0,0,6
0,0,6
0,0,5
0,0,8
0,0,6
0,0,3
0,0,5
0,0,26
0,0,4
0,0,7
0,0,7
0,0,6
0,0,6
0,0,11
0,0,7
0,4,4
103.25,5,17
0,0,4
0,0,6
0,0,3
0,0,13
0,0,14
0,0,26
0,0,17
0,0,14
0,0,7
0,0,14
0,0,6
0,0,17
0,0,6
0,0,26
0,0,14
0,0,6
19.21,1,6
0,0,16
0,0,7
1026.54,96,6
0,0,7
0,0,14
0,0,14
0,0,9
0,1,4
0,0,4
0,0,9
0,0,10
0,0,6
0,0,6
0,0,14
0,0,14
0,0,12
0,0,3
0,0,6
0,0,12
0,0,6
0,0,5
0,0,4
0,0,6
218.77,4,10
0,0,9
0,0,13
0,0,5
0,0,16
0,0,5
0,0,14
0,0,6
0,0,6
0,0,6
0,0,7
3835.8,3,13
0,0,5
0,0,6
0,0,14
0,0,6
0,0,7
0,0,6
0,0,4
0,0,6
0,0,5
0,0,6
0,1,6
0,0,5
52.87,1,5
0,0,6
0,0,8
0,0,14
0,0,13
0,0,4
0,0,14
0,0,12
0,0,6
0,0,17
0,0,14
0,0,14
0,0,9
0,0,14
0,0,9
0,0,4
0,0,12
0,0,6
0,0,8
385.58,25,6
0,0,6
0,0,4
0,0,9
0,0,6
0,0,9
58.85,4,13
0,0,8
0,0,6
0,0,6
0,0,7
0,0,5
409.28,18,6
183.72,1,13
0,0,6
0,0,14
0,0,17
0,0,14
0,0,11
0,0,14
0,0,14
568.83,3,7
0,0,14
0,0,14
0,0,10
0,0,11
0,0,6
0,0,4
0,0,9
0,0,16
0,0,11
0,0,7
0,0,1
0,0,6
0,0,5
0,0,17
0,0,3
61.01,1,14
0,0,17
4.82,0,13
0,0,6
0,0,9
0,0,7
0,0,1
0,0,1
0,0,4
0,0,5
0,0,6
0,0,13
0,0,14
2353.51,9,16
0,0,12
0,0,7
42.31,0,7
0,0,6
233.3,9,4
0,0,5
0,0,6
0,1,5
0,0,11
0,0,10
704.28,10,6
0,0,26
4394.54,18,6
0,0,9
1665.12,16,7
0,0,7
0,0,13
0,0,14
0,0,7
287.11,58,7
0,0,13
0,0,16
0,0,26
0,0,13
0,0,3
0,1,6
0,0,3
0,0,9
703.52,35,6
0,0,5
0,0,13
0,0,7
0,0,13
0,0,4
0,0,5
0,0,6
0,0,13
0,0,6
0,0,6
0,0,7
0,0,14
0,0,16
290.32,2,6
0,0,7
0,0,6
0,0,17
0,0,5
0,0,1
584.43,3,7
0,0,6
0,0,9
0,0,7
0,0,9
0,0,5
0,0,6
0,0,5
0,0,9
0,0,17
356.63,5,6
0,0,13
291.29,2,6
0,0,7
0,0,14
0,0,14
0,0,15
0,0,26
0,0,9
0,0,6
0,0,7
0,0,6
0,0,11
0,0,6
0,0,9
353.23,13,7
0,0,4
0,0,5
0,0,26
2451.68,20,5
0,0,14
0,0,14
1828.26,50,13
39.93,39,6
0,0,13
0,0,26
0,0,7
0,0,18
0,0,6
0,0,9
0,0,7
0,0,13
0,0,6
0,0,15
0,0,6
0,0,13
0,0,9
0,1,6
0,0,14
0,0,14
0,0,6
224.39,16,5
0,0,3
84.28,1,12
0,0,17
1498.03,26,13
0,0,13
0,0,1
0,0,7
0,0,7
0,0,10
0,0,15
0,0,14
0,0,5
0,0,11
0,0,17
0,0,13
0,0,6
0,0,7
0,0,16
23.78,1,13
0,0,7
0,0,16
0,0,19
0,0,17
0,0,17
0,0,14
502.6,10,26
0,0,10
0,0,13
14925.67,14,7
0,0,5
0,0,3
0,0,7
0,0,6
0,0,17
37.25,2,6
0,0,13
0,0,5
0,0,13
0,0,7
0,0,9
0,0,12
0,0,5
0,0,4
0,0,12
743.9,14,7
0,0,6
0,0,7
0,0,4
101.33,0,14
0,0,7
0,0,9
0,0,4
0,0,9
0,0,7
0,0,6
0,0,6
0,0,15
0,0,3
634.5,4,7
0,0,16
0,0,12
0,0,11
0,0,13
767.88,8,8
0,0,5
0,0,13
213.83,13,6
25.47,1,9
0,0,14
0,0,13
833.61,1,13
0,0,5
0,0,14
175.45,8,6
0,0,7
0,0,9
136.96,9,8
0,0,7
0,0,17
0,0,13
0,0,5
0,0,7
0,0,26
0,0,7
124.63,1,4
0,0,12
0,0,6
0,0,6
0,0,17
0,0,6
0,0,7
0,0,6
57.82,3,14
0,0,15
1232.01,19,14
0,2,5
0,0,10
0,0,12
0,0,13
0,0,6
85.51,2,7
0,2,4
267.3,4,6
0,0,1
0,0,9
0,0,6
0,0,6
0,0,14
0,0,6
0,0,11
73.18,1,6
0,0,14
52.76,2,13
0,0,5
0,1,5
0,0,7
0,0,6
0,0,6
0,0,6
0,0,6
0,0,9
0,0,26
0,0,6
0,0,13
0,0,5
0,0,7
0,0,5
5473.53,86,17
0,0,17
0,0,13
0,0,13
0,0,14
0,7,6
0,0,7
0,0,13
0,0,8
0,0,5
0,0,13
4.94,0,14
0,0,14
0,0,6
377.46,28,13
0,0,13
0,0,10
0,0,14
0,0,6
0,0,5
0,0,7
0,0,9
0,0,11
0,0,6
21.13,1,3
0,0,9
0,0,9
0,0,5
0,0,14
0,0,14
0,0,14
219.69,4,8
0,0,7
49.05,5,4
0,0,9
4.7,1,12
0,0,11
0,0,14
0,0,14
0,0,14
0,0,5
0,0,6
0,0,12
0,1,14
0,0,7
0,0,7
0,0,6
0,0,8
0,0,10
27482.83,35,9
0,0,14
0,0,13
0,0,5
0,1,3
0,0,7
