RR_FLAG,KHLX,KHZT,KHXB,CSRQ,XLBH,KHRQ,KHJB,KZ_KYZJ,KZ_ZQSZ,KZ_JJSZ,KZ_ZZC,KZ_YMZZC,KZ_FPS_KHSZ,KZ_TZZLX,KZ_YXZX,KZ_BNJYL,KZ_BNYJ,KZ_SYJYL,KZ_SYYJ,KZ_ZJJYSJ,KZ_01,KZ_PJZC_KHQ,KZ_YKJE_KHQ,KZ_ZJFL,KZ_ZZL,KZ_KHLY,KZ_KHJZ,KZ_KHHYD,KZ_KHNX,KZ_YJFL,KZ_ZCFL,KZ_YKFL,KZ_TZPHFL,KZ_KHFJ,KZ_KHNXFL,KZ_FXCSNL,KZ_PJZC_2,KZ_ZRZJ_2,KZ_ZCZJ_2,KZ_PJZC_6,KZ_YKJE_6,KZ_PJZC_BN,KZ_PJZC_SN,KZ_MRZQZE_6,KZ_MRQZZE_6,KZ_MRJJZE_6,KZ_YJ_6,KZ_JYL_6,KZ_MRZE_6,KZ_MRGPZE_6,KZ_YKL_6,KZ_SNYJ,KZ_ZRZJ_3,KZ_ZCZJ_3,KZ_ZRGP_3,KZ_ZCGP_3,KZ_QCZC_3,KZ_QMZC_3,KZ_YKL_3,KZ_BYJYL,KZ_BYYJ,KZ_FWFJ,KZ_KHSJLY,KZ_GTKHID,KZ_02,KZ_SJYJL_AG,KZ_PJZC_4,KZ_PJZC_1,KZ_YJ_12,KZ_JYYYKJE,KZ_BYYK,KZ_SYYK,KZ_BYYJ_A,KZ_SYYJ_A,KZ_BNYJ_A,KZ_BYJYL_A,KZ_SYJYL_A,KZ_BNJYL_A,KZ_SNJYL,KZ_DQBH,KZ_KHDJB,KZ_BZYJ,KZ_XEXMH,KZ_SFXXLS,KZ_SFYXLS,KZ_SFZCH,KZ_FWYJ,KZ_FWYJL,KZ_SFYXH,KZ_SFQY,KZ_ZZC_RMB,TRZKZJ,ZC3,JYJE3,YK6
0,1,0,2,46,2,4,13,707.48,6057728,0,6058435.48,5776371.48,0,0,7010,0,0,0,0,20131212,2,5472898.34,741342,11,0,2,1.6838,0,5,2,20,4,1,4,4,1,5577524.22,0.62,0,5359172.92,425864.48,5472898.34,0,0,0,0,363.93,2464321,1231361,1231361,0.08,6327.87,0.62,0,0,0,0,6058435.48,0.14,0,0,2,0,10500028568,2,0.25,5410535.22,5638662.4,2667.63,729892,282064,447828,0,0,0,0,0,0,25252537.12,100,3,3.00E-04,1,0,0,1,0,0,1,0,12116163.48,0,2,1,1
0,1,0,1,50,0,7,22,1300.66,692531.7,150584.29,844416.65,816110.07,0,0,7010,3465682.7,1072.38,588336.7,179.29,20140327,2,840700.85,-38392.38,11,13,2,0.8052,0,7,2,17,5,1,5,4,2,836017.51,0.51,0,862367.79,-46878.96,840700.85,0,0,0,0,3502.92,11285481.7,5636679.7,5636679.7,-0.05,11410.54,0.51,0,0,0,0,844416.65,-0.05,0,0,2,0,10500019307,1,0.4,849538.66,821165.53,5100.12,5528.31,28306.58,-22778.27,0,179.29,1072.38,0,588336.7,3465682.7,28519583.59,100,2,4.00E-04,1,0,0,1,0,0,1,0,1687532.64,0,2,0,1
0,1,0,0,68,0,6,23,1150.76,167445.6,0,168596.36,165866.36,0,0,7010,0,0,0,0,20131021,2,165092.68,-3804,11,0,2,0.5652,0,7,1,15,5,1,6,4,2,164544.46,1.01,0,172386.96,-13141.11,165092.68,0,0,0,0,5.46,3915,3915,3915,-0.08,22.02,1.01,0,0,0,0,168596.36,-0.02,0,0,2,0,10500020525,2,1.484,168576.35,163489.59,5.46,5544.4,2730,2814.4,0,0,0,0,0,0,19902.24,100,2,0.0015,1,0,0,1,0,0,1,0,336041.96,0,2,1,1
0,1,0,0,52,0,5,23,150419.99,3834434.84,0,3984854.83,3837775.32,99468,0,7010,8044329.69,3340.82,1231097.44,528.92,20140409,2,3814659.85,19836.63,15,6,2,1.0836,0,6,3,19,4,1,5,4,0,3855322.6,1250092.69,850000,3682778.36,287667.99,3814659.85,0,0,0,0,9549.91,23197595.23,11593828.75,11593828.75,0.08,20033,1410092.69,1310000,0,0,0,3984854.83,0.01,574292,245.22,2,0,10500025865,1,0.5,3751308.69,3893791.26,16807.73,4333.09,187079.51,-182746.42,245.22,528.92,3340.82,574292,1231097.44,8044329.69,39207575.32,100,2,5.00E-04,1,0,0,1,0,0,1,1,7819289.67,1,1,0,1
0,1,0,1,60,0,17,23,108070.33,16645.18,0,124715.51,123956.64,0,0,7010,0,0,0,0,0,2,124484.37,-493.4,15,0,2,0.9081,0,17,1,15,5,1,6,4,0,124650.58,94.48,0,125231.79,-313.54,124484.37,0,0,0,0,0,0,0,0,0,0,94.48,0,0,0,0,124715.51,0,0,0,2,0,10500004690,2,0,124907.64,124361.39,0,-477.67,758.87,-1236.54,0,0,0,0,0,0,890.1,100,2,0,1,0,0,1,0,0,1,0,141360.69,0,2,1,0
0,1,0,2,32,3,7,23,127848.37,366405,0,494253.37,474798.37,0,0,7010,257149.4,58.25,0,0,20140226,2,466564.78,-21975.17,15,1,2,0.6389,0,7,1,16,5,1,3,4,2,494024.15,77.31,1000,423772.32,-34859.78,466564.78,0,0,0,0,194.2,614939.4,316925,316925,-0.08,552.18,150077.31,4036,0,0,0,494253.37,-0.05,0,0,2,0,10500019502,1,0.3,442200.69,483764.67,336.14,2715,19455,-16740,0,0,58.25,0,0,257149.4,1049059.1,100,2,5.00E-04,1,0,0,1,0,0,1,0,860658.37,1,1,1,1
1,1,0,0,48,0,5,21,1299.12,3341118.32,0,3342417.44,3218584.46,0,0,7010,0,0,0,0,20131212,2,3084910.21,319329.92,11,0,2,1.4489,0,6,1,19,5,1,4,4,2,3128995.95,0.53,0,3017206.96,210065.98,3084910.21,0,0,0,0,31.74,213026,116313,116313,0.07,2104.34,0.53,0,0,0,0,3342417.44,0.1,0,0,2,0,10500026658,2,0.25,3055540.05,3155402.56,610.94,326173.58,123832.99,202340.59,0,0,0,0,0,0,8274756.72,100,2,3.00E-04,1,0,0,1,0,0,1,0,6081349.35,0,2,1,1
0,1,0,1,44,2,6,23,690824.89,0,0,690824.9,690917.97,0,0,7010,0,0,0,0,20110105,2,689625.72,1564.01,17,0,2,1.0888,0,7,1,17,4,1,4,4,0,689923.49,465.6,0,689506.09,30.15,689625.72,0,0,0,0,0,0,0,0,0,0,465.6,0,0,0,0,690824.9,0,0,0,3,0,10500021365,1,0.8,689482.2,690309.75,0,828.54,-93.07,921.61,0,0,0,0,0,0,0,100,2,8.00E-04,1,0,0,1,0,0,1,0,506215.62,0,2,1,1
0,1,0,0,50,0,6,23,341885.74,435858.2,0,777743.94,756393.14,0,0,7010,184220,254.34,0,0,20140212,2,761087.91,882.84,16,3,2,0.8395,0,7,1,17,5,1,5,4,3,763618.27,269.95,0,756551.14,42605.94,761087.91,0,0,0,0,2657.89,1950671,787851,787851,0.06,2590.21,269.95,0,0,0,0,777743.94,0,0,0,2,0,10500022633,2,1.47,764155.58,755915.07,2657.89,25863.2,21350.8,4512.4,0,0,254.34,0,0,184220,1788104.24,100,2,0,1,0,0,1,0,0,1,0,1213602.14,0,2,1,1
1,1,0,1,46,0,6,21,226.53,2543567,0,2543793.53,2425875.49,0,0,7010,3234350,1306.57,0,0,20140403,2,2297820.38,146920.59,11,12,2,0.3447,0,7,3,19,5,1,4,4,5,2374433.47,200055.32,0,2463940.66,-108855.77,2297820.38,0,0,0,0,11837.43,29687384.4,15411167.87,15411167.87,-0.04,26103.63,600055.32,4.00E+05,0,0,0,2543793.53,0.06,923456,378.96,2,0,10500021299,1,0.5,2372984.65,2429875.3,13969.92,322782.04,117918.04,204864,378.96,0,1306.57,923456,0,3234350,52174877.39,100,2,5.00E-04,1,0,0,1,0,0,1,0,5087360.53,0,1,1,1
